Temp,"HSN(Si,Ti)@bcc","HSN(Ti,Ti)@bcc","HSN(Si,Si)@bcc"
365,6.77068e+06,6.95843e+06,6.95193e+06
364,6.89335e+06,7.08115e+06,7.07462e+06
363,7.01917e+06,7.20702e+06,7.20046e+06
362,7.14826e+06,7.33615e+06,7.32956e+06
361,7.28071e+06,7.46865e+06,7.46203e+06
360,7.41667e+06,7.60466e+06,7.598e+06
359,7.55625e+06,7.74428e+06,7.7376e+06
358,7.69958e+06,7.88767e+06,7.88095e+06
357,7.84682e+06,8.03496e+06,8.02821e+06
356,7.99812e+06,8.18629e+06,8.17952e+06
355,8.15361e+06,8.34184e+06,8.33503e+06
354,8.31349e+06,8.50176e+06,8.49492e+06
353,8.47791e+06,8.66622e+06,8.65936e+06
352,8.64706e+06,8.83543e+06,8.82853e+06
351,8.82114e+06,9.00956e+06,9.00263e+06
350,9.00036e+06,9.18882e+06,9.18186e+06
349,9.18494e+06,9.37345e+06,9.36646e+06
348,9.37511e+06,9.56366e+06,9.55664e+06
347,9.57112e+06,9.75972e+06,9.75267e+06
346,9.77324e+06,9.96188e+06,9.9548e+06
345,9.98174e+06,1.01704e+07,1.01633e+07
344,1.01969e+07,1.03857e+07,1.03785e+07
343,1.04192e+07,1.06079e+07,1.06008e+07
342,1.06487e+07,1.08376e+07,1.08304e+07
341,1.0886e+07,1.10749e+07,1.10677e+07
340,1.11315e+07,1.13204e+07,1.13131e+07
339,1.13855e+07,1.15745e+07,1.15672e+07
338,1.16485e+07,1.18376e+07,1.18302e+07
337,1.19211e+07,1.21102e+07,1.21029e+07
336,1.22038e+07,1.23929e+07,1.23856e+07
335,1.24972e+07,1.26864e+07,1.2679e+07
334,1.28019e+07,1.29911e+07,1.29837e+07
333,1.31187e+07,1.3308e+07,1.33005e+07
332,1.34483e+07,1.36376e+07,1.36301e+07
331,1.37917e+07,1.3981e+07,1.39735e+07
330,1.41496e+07,1.4339e+07,1.43315e+07
329,1.45233e+07,1.47128e+07,1.47052e+07
328,1.49139e+07,1.51034e+07,1.50958e+07
327,1.53227e+07,1.55122e+07,1.55046e+07
326,1.57511e+07,1.59407e+07,1.5933e+07
325,1.62009e+07,1.63905e+07,1.63828e+07
324,1.66739e+07,1.68636e+07,1.68559e+07
323,1.71723e+07,1.7362e+07,1.73542e+07
322,1.76984e+07,1.78882e+07,1.78804e+07
321,1.82552e+07,1.84451e+07,1.84372e+07
320,1.8846e+07,1.90359e+07,1.9028e+07
319,1.94746e+07,1.96645e+07,1.96566e+07
318,2.01456e+07,2.03355e+07,2.03276e+07
317,2.08644e+07,2.10544e+07,2.10464e+07
316,2.16376e+07,2.18276e+07,2.18197e+07
315,2.24733e+07,2.26634e+07,2.26554e+07
314,2.33816e+07,2.35717e+07,2.35637e+07
313,2.4375e+07,2.45652e+07,2.45571e+07
312,2.54698e+07,2.566e+07,2.56519e+07
311,2.66874e+07,2.68777e+07,2.68696e+07
310,2.80569e+07,2.82472e+07,2.8239e+07
309,2.96189e+07,2.98093e+07,2.98011e+07
308,3.14331e+07,3.16235e+07,3.16153e+07
307,3.35918e+07,3.37822e+07,3.3774e+07
306,3.62494e+07,3.644e+07,3.64317e+07
305,3.96949e+07,3.98854e+07,3.98771e+07
304,4.45724e+07,4.4763e+07,4.47547e+07
303,5.29059e+07,5.30966e+07,5.30883e+07
302,9.57584e+07,9.59491e+07,9.59408e+07
301,1.25328e+08,1.25519e+08,1.2551e+08
300,1.2652e+08,1.26711e+08,1.26702e+08
299,1.27708e+08,1.27898e+08,1.2789e+08
298,1.28891e+08,1.29082e+08,1.29074e+08
297,1.3007e+08,1.3026e+08,1.30252e+08
296,1.31242e+08,1.31433e+08,1.31425e+08
295,1.32408e+08,1.32599e+08,1.32591e+08
294,1.33567e+08,1.33758e+08,1.3375e+08
293,1.34718e+08,1.34909e+08,1.34901e+08
292,1.3586e+08,1.36051e+08,1.36043e+08
291,1.36993e+08,1.37184e+08,1.37176e+08
290,1.38116e+08,1.38307e+08,1.38298e+08
289,1.39227e+08,1.39418e+08,1.3941e+08
288,1.40327e+08,1.40518e+08,1.4051e+08
287,1.41414e+08,1.41606e+08,1.41597e+08
286,1.42488e+08,1.4268e+08,1.42671e+08
285,1.43549e+08,1.4374e+08,1.43731e+08
284,1.44594e+08,1.44786e+08,1.44777e+08
283,1.45624e+08,1.45816e+08,1.45807e+08
282,1.46638e+08,1.4683e+08,1.46821e+08
281,1.47635e+08,1.47827e+08,1.47818e+08
280,1.48614e+08,1.48806e+08,1.48797e+08
279,1.49575e+08,1.49767e+08,1.49758e+08
278,1.50517e+08,1.50709e+08,1.507e+08
277,1.5144e+08,1.51632e+08,1.51623e+08
276,1.52342e+08,1.52534e+08,1.52525e+08
275,1.53223e+08,1.53415e+08,1.53406e+08
274,1.54083e+08,1.54275e+08,1.54266e+08
273,1.5492e+08,1.55112e+08,1.55103e+08
272,1.55735e+08,1.55927e+08,1.55918e+08
271,1.56527e+08,1.56719e+08,1.5671e+08
270,1.57294e+08,1.57487e+08,1.57477e+08
269,1.58038e+08,1.5823e+08,1.58221e+08
268,1.58757e+08,1.58949e+08,1.5894e+08
267,1.59451e+08,1.59643e+08,1.59634e+08
266,1.60119e+08,1.60311e+08,1.60302e+08
265,1.60761e+08,1.60954e+08,1.60944e+08
264,1.61377e+08,1.6157e+08,1.6156e+08
263,1.61967e+08,1.62159e+08,1.6215e+08
262,1.6253e+08,1.62722e+08,1.62713e+08
261,1.63065e+08,1.63258e+08,1.63248e+08
260,1.63574e+08,1.63766e+08,1.63757e+08
259,1.64054e+08,1.64247e+08,1.64238e+08
258,1.64508e+08,1.647e+08,1.64691e+08
257,1.64933e+08,1.65126e+08,1.65116e+08
256,1.65331e+08,1.65524e+08,1.65514e+08
255,1.65701e+08,1.65894e+08,1.65884e+08
254,1.66043e+08,1.66236e+08,1.66226e+08
253,1.66357e+08,1.6655e+08,1.66541e+08
252,1.66644e+08,1.66837e+08,1.66827e+08
251,1.66902e+08,1.67095e+08,1.67086e+08
250,1.67134e+08,1.67327e+08,1.67317e+08
249,1.67337e+08,1.6753e+08,1.67521e+08
248,1.67514e+08,1.67707e+08,1.67697e+08
